model,task_id,mr,tool_mr0,tool_mrX,tool_switch,diff_keys,arg_classes,causa,severidade,defeito
llama3.2:3b,t02,mr3,get_weather,get_weather,0,city,resolved,traducao_do_argumento,S1,1
llama3.2:3b,t03,mr3,get_weather,get_weather,0,city,resolved,traducao_do_argumento,S1,1
llama3.2:3b,t04,mr2,get_weather,get_weather,0,city,resolved,corrupcao_por_ruido,S2,1
llama3.2:3b,t11,mr1,search_web,search_web,0,query,free,parafrase_mudou_query,S0,0
llama3.2:3b,t11,mr3,search_web,search_web,0,query,free,traducao_do_argumento,S0,0
llama3.2:3b,t15,mr1,search_web,search_web,0,query,free,parafrase_mudou_query,S0,0
llama3.2:3b,t15,mr3,search_web,search_web,0,query,free,traducao_do_argumento,S0,0
llama3.2:3b,t16,mr2,create_calendar_event,create_calendar_event,0,title,free,corrupcao_por_ruido,S2,1
llama3.2:3b,t16,mr3,create_calendar_event,create_calendar_event,0,title,free,traducao_do_argumento,S0,0
llama3.2:3b,t19,mr3,create_calendar_event,create_calendar_event,0,title,free,traducao_do_argumento,S0,0
llama3.2:3b,t20,mr3,create_calendar_event,create_calendar_event,0,title,free,traducao_do_argumento,S0,0
llama3.2:3b,t27,mr3,translate_text,translate_text,0,target_language,resolved,traducao_com_corrupcao,S2,1
llama3.2:3b,t28,mr3,translate_text,translate_text,0,target_language,resolved,traducao_com_corrupcao,S2,1
llama3.2:3b,t29,mr3,translate_text,translate_text,0,target_language,resolved,traducao_do_argumento,S1,1
llama3.2:3b,t38,mr3,set_reminder,set_reminder,0,task,free,traducao_do_argumento,S0,0
qwen3.5:4b,t02,mr3,get_weather,get_weather,0,city,resolved,traducao_do_argumento,S1,1
qwen3.5:4b,t13,mr1,search_web,search_web,0,query,free,parafrase_mudou_query,S0,0
qwen3.5:4b,t13,mr3,search_web,search_web,0,query,free,traducao_do_argumento,S0,0
qwen3.5:4b,t15,mr1,search_web,search_web,0,query,free,parafrase_mudou_query,S0,0
qwen3.5:4b,t15,mr3,search_web,search_web,0,query,free,traducao_do_argumento,S0,0
qwen3.5:4b,t16,mr2,create_calendar_event,create_calendar_event,0,title,free,corrupcao_por_ruido,S2,1
qwen3.5:4b,t16,mr3,create_calendar_event,create_calendar_event,0,title,free,traducao_do_argumento,S0,0
qwen3.5:4b,t18,mr3,create_calendar_event,create_calendar_event,0,title,free,traducao_do_argumento,S0,0
qwen3.5:4b,t19,mr3,create_calendar_event,create_calendar_event,0,title,free,traducao_do_argumento,S0,0
qwen3.5:4b,t20,mr3,create_calendar_event,create_calendar_event,0,title,free,traducao_do_argumento,S0,0
qwen3.5:4b,t39,mr1,set_reminder,set_reminder,0,task,free,parafrase_mudou_query,S0,0
qwen3.5:4b,t39,mr3,set_reminder,set_reminder,0,task,free,traducao_do_argumento,S0,0
