model,task_id,mr,tipo,expected_tool,input_mr0,input_mrX,mr0_call,mrX_call,raw_mrX,causa
llama3.2:3b,t02,mr3,mudanca_de_args,get_weather,Tell me the current temperature in Tokyo in fahrenheit.,Me diga a temperatura atual em Tóquio em fahrenheit.,"get_weather({""city"": ""Tokyo"", ""unit"": ""fahrenheit""})","get_weather({""city"": ""Tóquio"", ""unit"": ""fahrenheit""})",,traducao_do_argumento
llama3.2:3b,t03,mr3,mudanca_de_args,get_weather,Is it raining in London today?,Está chovendo em Londres hoje?,"get_weather({""city"": ""London"", ""unit"": ""celsius""})","get_weather({""unit"": ""celsius"", ""city"": ""Londres""})",,traducao_do_argumento
llama3.2:3b,t04,mr2,mudanca_de_args,get_weather,Check the weather forecast for São Paulo.,Chheck  the weather forecast for  Soã  Paulo.,"get_weather({""city"": ""São Paulo"", ""unit"": ""celsius""})","get_weather({""city"": ""Soã  Paulo"", ""unit"": ""null""})",,corrupcao_por_ruido
llama3.2:3b,t11,mr1,mudanca_de_args,search_web,Search the web for the best restaurants in Lisbon.,Run a web search to find the top-rated restaurants in Lisbon.,"search_web({""query"": ""best restaurants in Lisbon""})","search_web({""query"": ""top-rated restaurants in Lisbon""})",,parafrase_mudou_query
llama3.2:3b,t11,mr3,mudanca_de_args,search_web,Search the web for the best restaurants in Lisbon.,Pesquise na web os melhores restaurantes em Lisboa.,"search_web({""query"": ""best restaurants in Lisbon""})","search_web({""query"": ""melhores restaurantes em Lisboa""})",,traducao_do_argumento
llama3.2:3b,t15,mr1,mudanca_de_args,search_web,Google what the tallest mountain in the world is.,Can you search to find out which mountain is the highest on Earth?,"search_web({""query"": ""tallest mountain in the world""})","search_web({""query"": ""highest mountain on Earth""})",,parafrase_mudou_query
llama3.2:3b,t15,mr3,mudanca_de_args,search_web,Google what the tallest mountain in the world is.,Pesquise qual é a montanha mais alta do mundo.,"search_web({""query"": ""tallest mountain in the world""})","search_web({""query"": ""montanha mais alta do mundo""})",,traducao_do_argumento
llama3.2:3b,t16,mr2,mudanca_de_args,create_calendar_event,Create a calendar event called 'Dentist' on 2026-07-10 at 9am.,Crreate  a calendar event called  'Dnetist'  on  2026-07-10  at 9am.,"create_calendar_event({""date"": ""2026-07-10"", ""title"": ""Dentist"", ""time"": ""09:00""})","create_calendar_event({""date"": ""2026-07-10"", ""title"": ""Dnetist"", ""time"": ""09:00""})",,corrupcao_por_ruido
llama3.2:3b,t16,mr3,mudanca_de_args,create_calendar_event,Create a calendar event called 'Dentist' on 2026-07-10 at 9am.,Crie um evento na agenda chamado 'Dentista' em 10/07/2026 às 9h.,"create_calendar_event({""date"": ""2026-07-10"", ""title"": ""Dentist"", ""time"": ""09:00""})","create_calendar_event({""time"": ""09:00"", ""title"": ""Dentista"", ""date"": ""2026-07-10""})",,traducao_do_argumento
llama3.2:3b,t19,mr3,mudanca_de_args,create_calendar_event,Put a doctor appointment on my calendar for tomorrow at 10:30.,Coloque uma consulta médica na minha agenda para amanhã às 10:30.,"create_calendar_event({""date"": ""tomorrow"", ""title"": ""Doctor Appointment"", ""time"": ""10:30""})","create_calendar_event({""date"": ""amáo ílera 10:30"", ""time"": ""10:30"", ""title"": ""Consulta médica""})",,traducao_com_corrupcao
